type	time	latitude	longitude	name	desc
T	2017-07-17 14:58:58	42.060100000	-70.279100000		
T	2017-07-17 14:59:19	42.061500000	-70.277600000		
T	2017-07-17 14:59:39	42.062800000	-70.276200000		
T	2017-07-17 14:59:58	42.064100000	-70.274800000		
T	2017-07-17 15:00:22	42.065500000	-70.273400000		
T	2017-07-17 15:00:58	42.066900000	-70.272000000		
T	2017-07-17 15:01:34	42.068300000	-70.270700000		
T	2017-07-17 15:02:03	42.069600000	-70.269200000		
T	2017-07-17 15:02:29	42.071000000	-70.267700000		
T	2017-07-17 15:02:53	42.072200000	-70.266200000		
T	2017-07-17 15:03:17	42.073600000	-70.264600000		
T	2017-07-17 15:03:37	42.074900000	-70.263000000		
T	2017-07-17 15:03:56	42.076200000	-70.261500000		
T	2017-07-17 15:04:17	42.077600000	-70.259900000		
T	2017-07-17 15:04:37	42.078900000	-70.258400000		
T	2017-07-17 15:04:56	42.080300000	-70.256900000		
T	2017-07-17 15:05:17	42.081600000	-70.255300000		
T	2017-07-17 15:05:37	42.083000000	-70.253700000		
T	2017-07-17 15:05:56	42.084400000	-70.252100000		
T	2017-07-17 15:06:16	42.085700000	-70.250600000		
T	2017-07-17 15:06:37	42.087000000	-70.249000000		
T	2017-07-17 15:06:57	42.088400000	-70.247400000		
T	2017-07-17 15:07:16	42.089700000	-70.245900000		
T	2017-07-17 15:07:37	42.091100000	-70.244300000		
T	2017-07-17 15:07:57	42.092400000	-70.242700000		
T	2017-07-17 15:08:16	42.093800000	-70.241200000		
T	2017-07-17 15:08:37	42.095100000	-70.239600000		
T	2017-07-17 15:08:57	42.096400000	-70.238100000		
T	2017-07-17 15:09:17	42.097700000	-70.236500000		
T	2017-07-17 15:09:37	42.099100000	-70.234900000		
T	2017-07-17 15:09:57	42.100400000	-70.233400000		
T	2017-07-17 15:10:17	42.101800000	-70.231800000		
T	2017-07-17 15:10:37	42.103100000	-70.230300000		
T	2017-07-17 15:10:57	42.104400000	-70.228700000		
T	2017-07-17 15:11:17	42.105700000	-70.227200000		
T	2017-07-17 15:11:37	42.107100000	-70.225600000		
T	2017-07-17 15:11:59	42.108500000	-70.224100000		
T	2017-07-17 15:12:18	42.109800000	-70.222500000		
T	2017-07-17 15:12:38	42.111100000	-70.221000000		
T	2017-07-17 15:12:59	42.112400000	-70.219600000		
T	2017-07-17 15:13:19	42.113700000	-70.218100000		
T	2017-07-17 15:13:38	42.115000000	-70.216600000		
T	2017-07-17 15:13:59	42.116300000	-70.215100000		
T	2017-07-17 15:14:19	42.117600000	-70.213600000		
T	2017-07-17 15:14:38	42.118900000	-70.212100000		
T	2017-07-17 15:14:59	42.120300000	-70.210500000		
T	2017-07-17 15:15:19	42.121600000	-70.209000000		
T	2017-07-17 15:15:38	42.122900000	-70.207500000		
T	2017-07-17 15:15:59	42.124200000	-70.206000000		
T	2017-07-17 15:16:19	42.125500000	-70.204500000		
T	2017-07-17 15:16:38	42.126900000	-70.203100000		
T	2017-07-17 15:16:59	42.128200000	-70.201600000		
T	2017-07-17 15:17:19	42.129500000	-70.200100000		
T	2017-07-17 15:17:39	42.130800000	-70.198700000		
T	2017-07-17 15:17:59	42.132100000	-70.197200000		
T	2017-07-17 15:18:19	42.133400000	-70.195700000		
T	2017-07-17 15:18:39	42.134700000	-70.194200000		
T	2017-07-17 15:18:59	42.136000000	-70.192800000		
T	2017-07-17 15:19:21	42.137300000	-70.191300000		
T	2017-07-17 15:19:41	42.138600000	-70.189800000		
T	2017-07-17 15:20:03	42.140000000	-70.188200000		
T	2017-07-17 15:20:24	42.141400000	-70.186600000		
T	2017-07-17 15:20:47	42.142800000	-70.185100000		
T	2017-07-17 15:21:07	42.144200000	-70.183600000		
T	2017-07-17 15:21:29	42.145600000	-70.182000000		
T	2017-07-17 15:21:51	42.147000000	-70.180500000		
T	2017-07-17 15:22:13	42.148400000	-70.179000000		
T	2017-07-17 15:22:34	42.149800000	-70.177400000		
T	2017-07-17 15:22:57	42.151200000	-70.175900000		
T	2017-07-17 15:23:19	42.152600000	-70.174400000		
T	2017-07-17 15:23:41	42.154100000	-70.172900000		
T	2017-07-17 15:24:03	42.155500000	-70.171300000		
T	2017-07-17 15:24:25	42.156900000	-70.169800000		
T	2017-07-17 15:24:47	42.158300000	-70.168200000		
T	2017-07-17 15:25:08	42.159600000	-70.166700000		
T	2017-07-17 15:25:31	42.161100000	-70.165100000		
T	2017-07-17 15:25:53	42.162400000	-70.163600000		
T	2017-07-17 15:26:15	42.163800000	-70.162100000		
T	2017-07-17 15:26:36	42.165200000	-70.160600000		
T	2017-07-17 15:26:58	42.166600000	-70.159100000		
T	2017-07-17 15:27:21	42.168000000	-70.157600000		
T	2017-07-17 15:27:43	42.169300000	-70.156000000		
T	2017-07-17 15:28:05	42.170700000	-70.154600000		
