type	time	latitude	longitude	name	desc
T	2018-05-17 18:59:05	43.523385000	-70.199565000		
T	2018-05-17 18:59:28	43.524997000	-70.198488000		
T	2018-05-17 18:59:50	43.526575000	-70.197327000		
T	2018-05-17 19:00:11	43.528218000	-70.196333000		
T	2018-05-17 19:00:33	43.529737000	-70.195035000		
T	2018-05-17 19:00:55	43.531350000	-70.193977000		
T	2018-05-17 19:01:16	43.532925000	-70.192820000		
T	2018-05-17 19:01:39	43.534580000	-70.191817000		
T	2018-05-17 19:02:01	43.536158000	-70.190657000		
T	2018-05-17 19:02:23	43.537765000	-70.189550000		
T	2018-05-17 19:02:45	43.539388000	-70.188515000		
T	2018-05-17 19:03:07	43.540995000	-70.187422000		
T	2018-05-17 19:03:29	43.542563000	-70.186215000		
T	2018-05-17 19:03:52	43.544133000	-70.184968000		
T	2018-05-17 19:04:13	43.545770000	-70.183982000		
T	2018-05-17 19:04:35	43.547355000	-70.182790000		
T	2018-05-17 19:04:57	43.548970000	-70.181638000		
T	2018-05-17 19:05:19	43.550593000	-70.180508000		
T	2018-05-17 19:05:41	43.552225000	-70.179443000		
T	2018-05-17 19:06:04	43.553792000	-70.178205000		
T	2018-05-17 19:06:26	43.555420000	-70.177165000		
T	2018-05-17 19:06:47	43.557020000	-70.176037000		
T	2018-05-17 19:07:08	43.558553000	-70.174923000		
T	2018-05-17 19:07:29	43.560142000	-70.173987000		
T	2018-05-17 19:07:50	43.561692000	-70.173005000		
T	2018-05-17 19:08:12	43.563318000	-70.171912000		
T	2018-05-17 19:08:34	43.565097000	-70.171367000		
T	2018-05-17 19:08:56	43.566873000	-70.170913000		
T	2018-05-17 19:09:18	43.568663000	-70.170523000		
T	2018-05-17 19:09:40	43.570468000	-70.170202000		
T	2018-05-17 19:10:03	43.572267000	-70.169718000		
T	2018-05-17 19:10:24	43.574035000	-70.169317000		
T	2018-05-17 19:10:46	43.575802000	-70.168845000		
T	2018-05-17 19:11:06	43.577433000	-70.168305000		
T	2018-05-17 19:11:28	43.579225000	-70.167988000		
T	2018-05-17 19:11:51	43.580975000	-70.167428000		
T	2018-05-17 19:12:13	43.582757000	-70.166937000		
T	2018-05-17 19:12:32	43.584390000	-70.166437000		
T	2018-05-17 19:12:54	43.586198000	-70.166078000		
T	2018-05-17 19:13:14	43.587847000	-70.165468000		
T	2018-05-17 19:13:34	43.589527000	-70.165438000		
T	2018-05-17 19:13:55	43.591042000	-70.166485000		
T	2018-05-17 19:14:17	43.592625000	-70.167678000		
T	2018-05-17 19:14:39	43.594018000	-70.169205000		
T	2018-05-17 19:15:01	43.595500000	-70.170452000		
T	2018-05-17 19:15:23	43.596992000	-70.171775000		
T	2018-05-17 19:15:45	43.598475000	-70.173162000		
T	2018-05-17 19:16:07	43.599962000	-70.174515000		
T	2018-05-17 19:16:29	43.601357000	-70.175952000		
T	2018-05-17 19:16:51	43.602935000	-70.177183000		
T	2018-05-17 19:17:13	43.604452000	-70.178492000		
T	2018-05-17 19:17:35	43.605860000	-70.179948000		
T	2018-05-17 19:17:56	43.607378000	-70.181223000		
T	2018-05-17 19:18:19	43.608968000	-70.182430000		
T	2018-05-17 19:18:41	43.610230000	-70.184090000		
T	2018-05-17 19:19:01	43.611552000	-70.185602000		
T	2018-05-17 19:19:23	43.612717000	-70.187318000		
