type	time	latitude	longitude	name	desc
T	2018-07-18 16:06:10	43.553000000	-70.093500000		
T	2018-07-18 16:06:51	43.554500000	-70.092333000		
T	2018-07-18 16:07:32	43.556000000	-70.091167000		
T	2018-07-18 16:08:14	43.557500000	-70.089833000		
T	2018-07-18 16:08:56	43.559000000	-70.088667000		
T	2018-07-18 16:09:37	43.560500000	-70.087333000		
T	2018-07-18 16:10:19	43.562000000	-70.086167000		
T	2018-07-18 16:11:00	43.563500000	-70.084833000		
T	2018-07-18 16:11:41	43.565000000	-70.083667000		
T	2018-07-18 16:12:22	43.566500000	-70.082333000		
T	2018-07-18 16:13:03	43.568000000	-70.081167000		
T	2018-07-18 16:13:44	43.569500000	-70.079833000		
T	2018-07-18 16:14:25	43.571000000	-70.078667000		
T	2018-07-18 16:15:07	43.572500000	-70.077333000		
T	2018-07-18 16:15:47	43.574000000	-70.076167000		
T	2018-07-18 16:16:28	43.575500000	-70.075000000		
T	2018-07-18 16:17:08	43.577000000	-70.073833000		
T	2018-07-18 16:17:49	43.578500000	-70.072500000		
T	2018-07-18 16:18:31	43.580000000	-70.071167000		
T	2018-07-18 16:19:11	43.581500000	-70.070000000		
T	2018-07-18 16:19:52	43.583000000	-70.068833000		
T	2018-07-18 16:20:33	43.584500000	-70.067667000		
T	2018-07-18 16:21:14	43.586000000	-70.066333000		
T	2018-07-18 16:21:54	43.587500000	-70.065167000		
T	2018-07-18 16:22:36	43.589000000	-70.064000000		
T	2018-07-18 16:23:16	43.590500000	-70.062833000		
T	2018-07-18 16:23:58	43.592000000	-70.061500000		
T	2018-07-18 16:24:40	43.593500000	-70.060167000		
T	2018-07-18 16:25:22	43.595000000	-70.058833000		
T	2018-07-18 16:26:05	43.596500000	-70.057500000		
T	2018-07-18 16:26:48	43.598000000	-70.056167000		
T	2018-07-18 16:27:30	43.599500000	-70.054833000		
T	2018-07-18 16:28:13	43.601000000	-70.053500000		
T	2018-07-18 16:28:56	43.602500000	-70.052000000		
T	2018-07-18 16:29:38	43.604000000	-70.050667000		
T	2018-07-18 16:30:20	43.605500000	-70.049333000		
T	2018-07-18 16:31:05	43.607000000	-70.047833000		
T	2018-07-18 16:31:45	43.608500000	-70.046667000		
T	2018-07-18 16:32:28	43.610000000	-70.045333000		
T	2018-07-18 16:33:10	43.611500000	-70.044000000		
T	2018-07-18 16:33:52	43.613000000	-70.042667000		
T	2018-07-18 16:34:35	43.614500000	-70.041333000		
T	2018-07-18 16:35:16	43.616000000	-70.040000000		
T	2018-07-18 16:35:59	43.617500000	-70.038667000		
T	2018-07-18 16:36:41	43.619000000	-70.037333000		
T	2018-07-18 16:37:22	43.620500000	-70.036000000		
T	2018-07-18 16:38:04	43.622000000	-70.034667000		
T	2018-07-18 16:38:45	43.623500000	-70.033333000		
T	2018-07-18 16:39:26	43.625000000	-70.032167000		
T	2018-07-18 16:40:07	43.626500000	-70.030833000		
T	2018-07-18 16:40:49	43.628000000	-70.029500000		
T	2018-07-18 16:41:30	43.629500000	-70.028333000		
T	2018-07-18 16:42:11	43.631000000	-70.027000000		
T	2018-07-18 16:42:53	43.632500000	-70.025667000		
T	2018-07-18 16:43:34	43.634000000	-70.024500000		
T	2018-07-18 16:44:15	43.635500000	-70.023167000		
T	2018-07-18 16:44:57	43.637000000	-70.021833000		
T	2018-07-18 16:45:37	43.638500000	-70.020667000		
T	2018-07-18 16:46:18	43.640000000	-70.019333000		
T	2018-07-18 16:47:00	43.641500000	-70.018167000		
T	2018-07-18 16:47:40	43.643000000	-70.016833000		
T	2018-07-18 16:48:22	43.644500000	-70.015667000		
T	2018-07-18 16:49:03	43.646000000	-70.014333000		
T	2018-07-18 16:49:42	43.647500000	-70.013167000		
T	2018-07-18 16:50:24	43.649000000	-70.011833000		
T	2018-07-18 16:51:04	43.650500000	-70.010667000		
T	2018-07-18 16:51:46	43.652000000	-70.009333000		
T	2018-07-18 16:52:27	43.653500000	-70.008000000		
T	2018-07-18 16:53:08	43.655000000	-70.006667000		
T	2018-07-18 16:53:49	43.656500000	-70.005500000		
T	2018-07-18 16:54:30	43.658000000	-70.004167000		
T	2018-07-18 16:55:11	43.659500000	-70.002833000		
