,Gulf Challenger Harpswell,2018-05-17 15:53:21,2018-05-19 21:13:48
,ifcbfile,latitude,longitude
200,D20180518T175808_IFCB009.hdr,43.704431322580646,-70.02480577419355
201,D20180518T180537_IFCB009.hdr,43.72115,-70.01534699999999
202,D20180518T181306_IFCB009.hdr,43.75136068546638,-69.99498940347071
203,D20180518T182035_IFCB009.hdr,43.752959943600864,-69.99460078958785
204,D20180518T182804_IFCB009.hdr,43.75467066666667,-69.99475101282052
205,D20180518T183533_IFCB009.hdr,43.7722436,-69.98004569999999
206,D20180518T184302_IFCB009.hdr,43.79257824561404,-69.9662887368421
207,D20180518T185031_IFCB009.hdr,43.79311081346679,-69.96497021019108
208,D20180518T185801_IFCB009.hdr,43.793300804367604,-69.96405587898089
209,D20180518T190530_IFCB009.hdr,43.79326446067415,-69.9585708764045
210,D20180518T191259_IFCB009.hdr,43.791388624999996,-69.967945625
211,D20180518T192028_IFCB009.hdr,43.77171657142857,-69.98093485714286
212,D20180518T192756_IFCB009.hdr,43.748695000000005,-69.99614826086957
213,D20180518T193525_IFCB009.hdr,43.71674433333333,-70.02107566666668
214,D20180518T194254_IFCB009.hdr,43.70265190476191,-70.0566961904762
215,D20180518T195023_IFCB009.hdr,43.726976722222226,-70.08184672222222
216,D20180518T195752_IFCB009.hdr,43.70140175,-70.11429025
217,D20180518T200521_IFCB009.hdr,43.6740226,-70.1477682
218,D20180518T201250_IFCB009.hdr,43.67894561538461,-70.18341015384615
219,D20180518T202019_IFCB009.hdr,43.665542,-70.20379199999999
220,D20180518T202748_IFCB009.hdr,43.65893802777778,-70.23301083333334
221,D20180518T203517_IFCB009.hdr,43.653325,-70.250037
222,D20180518T204246_IFCB009.hdr,43.65332623963736,-70.25001756784688
223,D20180519T102732_IFCB009.hdr,43.65346286479125,-70.24787587624519
224,D20180519T104409_IFCB009.hdr,43.65346561739357,-70.24783272734395
225,D20180519T105138_IFCB009.hdr,43.65346685703093,-70.24781329519084
226,D20180519T105907_IFCB009.hdr,43.653468096668284,-70.24779386303771
227,D20180519T110636_IFCB009.hdr,43.65346933630563,-70.2477744308846
228,D20180519T111405_IFCB009.hdr,43.65347057594299,-70.24775499873148
229,D20180519T112134_IFCB009.hdr,43.653471815580346,-70.24773556657836
230,D20180519T112902_IFCB009.hdr,43.65366738461538,-70.24691169230769
231,D20180519T113632_IFCB009.hdr,43.66875543478261,-70.22462043478261
232,D20180519T114401_IFCB009.hdr,43.69520825,-70.196638
233,D20180519T115130_IFCB009.hdr,43.70214177777778,-70.15169433333334
234,D20180519T115859_IFCB009.hdr,43.71271,-70.11599218181819
235,D20180519T120628_IFCB009.hdr,43.72905160869565,-70.07656804347826
236,D20180519T121357_IFCB009.hdr,43.703102,-70.049397
237,D20180519T122126_IFCB009.hdr,43.72557033333334,-70.013383
238,D20180519T122854_IFCB009.hdr,43.7527524,-69.9956976
239,D20180519T123623_IFCB009.hdr,43.78297128571428,-69.97476942857143
240,D20180519T124352_IFCB009.hdr,43.79387320437956,-69.95895112408759
241,D20180519T125121_IFCB009.hdr,43.79385510734463,-69.96473675706214
242,D20180519T125850_IFCB009.hdr,43.793327468926556,-69.96602541242937
243,D20180519T130619_IFCB009.hdr,43.783658466666665,-69.97445686666667
244,D20180519T131348_IFCB009.hdr,43.768430458333334,-69.98025720833333
245,D20180519T132117_IFCB009.hdr,43.76162022794118,-69.98707426470588
246,D20180519T132846_IFCB009.hdr,43.76098359436275,-69.9880537009804
247,D20180519T133615_IFCB009.hdr,43.74941373684211,-69.99562857894738
248,D20180519T134344_IFCB009.hdr,43.731698,-70.00736931578948
249,D20180519T135113_IFCB009.hdr,43.71042273033708,-70.01899660674158
250,D20180519T135842_IFCB009.hdr,43.70569879814385,-70.02117908352668
251,D20180519T140610_IFCB009.hdr,43.704173270270275,-70.02212097297297
252,D20180519T141339_IFCB009.hdr,43.70473310542169,-70.02538423493976
253,D20180519T142108_IFCB009.hdr,43.70541522222222,-70.02158077777777
254,D20180519T142837_IFCB009.hdr,43.696272782608695,-70.00506176086957
255,D20180519T143606_IFCB009.hdr,43.688701977777775,-69.98446684444444
256,D20180519T144335_IFCB009.hdr,43.68669308941606,-69.97873983576642
257,D20180519T145104_IFCB009.hdr,43.68782618128655,-69.98055371345029
258,D20180519T145833_IFCB009.hdr,43.681823,-69.9741946
259,D20180519T150602_IFCB009.hdr,43.65336053846154,-69.96958619230769
260,D20180519T151330_IFCB009.hdr,43.63620081278539,-69.96712306392693
261,D20180519T152059_IFCB009.hdr,43.63699074048443,-69.96973873702422
262,D20180519T152828_IFCB009.hdr,43.636315884615385,-69.96982403846154
263,D20180519T153557_IFCB009.hdr,43.60942847826087,-69.94501417391304
264,D20180519T154326_IFCB009.hdr,43.59395691061452,-69.9335726368715
265,D20180519T155055_IFCB009.hdr,43.594018365921784,-69.93501495530727
266,D20180519T155824_IFCB009.hdr,43.59472066666666,-69.93722466666667
267,D20180519T160552_IFCB009.hdr,43.621817666666665,-69.95357266666667
268,D20180519T161321_IFCB009.hdr,43.657009,-69.9782845
